dimension_id,indicator,value,table_id
6f7adaf0-8d95-4da5-80ee-6d10768fd77b,Regulations – Helpful,14 (46.7%),748891e1-3021-49c4-b890-e2bbee0436f6
f2d48f01-8fa6-4a11-9f36-9c51fe7eec25,Regulations – Helpful,8 (26.7%),748891e1-3021-49c4-b890-e2bbee0436f6
4185dc3d-8154-42f4-ba30-b525b1257500,Regulations – Helpful,15 (50.0%),748891e1-3021-49c4-b890-e2bbee0436f6
c78cd2c7-ff0a-4ec0-80e8-b9c7cf38923a,Regulations – Helpful,15 (50.0%),748891e1-3021-49c4-b890-e2bbee0436f6
127cbde5-9675-43ab-852d-6cadae2ce26d,Regulations – Helpful,4 (13.3%),748891e1-3021-49c4-b890-e2bbee0436f6
13ac4bea-e137-4467-9810-0808238a196c,Regulations – Very helpful,10 (33.3%),748891e1-3021-49c4-b890-e2bbee0436f6
ec4d901f-f465-48ed-a621-5c25ea87d80a,Regulations – Very helpful,12 (40.0%),748891e1-3021-49c4-b890-e2bbee0436f6
c8a9c1f0-38f0-4aaf-aaa6-74d9a99d316e,Regulations – Very helpful,11 (36.7%),748891e1-3021-49c4-b890-e2bbee0436f6
c2571ced-e511-4752-88c2-8f41150dc1ca,Regulations – Very helpful,17 (56.7%),748891e1-3021-49c4-b890-e2bbee0436f6
e1fd9b53-9ee7-4292-ad1c-6270a9b9c22e,Regulations – Very helpful,13 (43.3%),748891e1-3021-49c4-b890-e2bbee0436f6
0caf785d-b2b2-4a6d-8b4f-f88d137bc0b6,Regulations – Very helpful,13 (43.3%),748891e1-3021-49c4-b890-e2bbee0436f6
f83a7cf5-bb04-407e-b3ca-6bf7e1f1f5ba,Regulations – Very helpful,10 (33.3%),748891e1-3021-49c4-b890-e2bbee0436f6
9e4f0808-9a4f-41dd-adbb-1dd0fad3ba5f,Regulations – Very helpful,14 (46.7%),748891e1-3021-49c4-b890-e2bbee0436f6
ff8d87e4-d214-4c4c-9b90-286fb5a150f3,Regulations – Very helpful,13 (43.3%),748891e1-3021-49c4-b890-e2bbee0436f6
11b2a99b-e846-4596-9d10-81b966219fc3,Regulations – Very helpful,12 (40.0%),748891e1-3021-49c4-b890-e2bbee0436f6
fc4d96a6-8aaf-47fa-9703-87b8a1a15dac,Regulations – Very helpful,15 (50.0%),748891e1-3021-49c4-b890-e2bbee0436f6
ab86b96c-7677-4254-a436-1127d04141c0,Regulations – Very helpful,16 (53.3%),748891e1-3021-49c4-b890-e2bbee0436f6
c823370b-0454-425d-9920-40bda285f813,Regulations – Very helpful,15 (50.0%),748891e1-3021-49c4-b890-e2bbee0436f6
23719c5c-44d6-4090-9040-4a4d41488fb0,Regulations – Very helpful,11 (36.7%),748891e1-3021-49c4-b890-e2bbee0436f6
a8844ec7-eb4b-49f7-96ed-bae732518d90,Regulations – Very helpful,14 (46.7%),748891e1-3021-49c4-b890-e2bbee0436f6
1f1350d1-d6fb-4552-96f9-fc11ee0b194b,Regulations – Very helpful,12 (40.0%),748891e1-3021-49c4-b890-e2bbee0436f6
c1546055-8530-4976-ae66-5c6521c943e7,Regulations – Very helpful,9 (30.0%),748891e1-3021-49c4-b890-e2bbee0436f6
d461598a-4320-45d6-b1ec-4f826ef08b53,Regulations – Very helpful,11 (36.7%),748891e1-3021-49c4-b890-e2bbee0436f6
8b7d5656-4df7-4218-a8a8-a312bff25da4,Regulations – Very helpful,5 (16.7%),748891e1-3021-49c4-b890-e2bbee0436f6
000e44ff-fb5f-4aed-9e1c-8383ceb7a07c,Regulations – Very helpful,16 (53.3%),748891e1-3021-49c4-b890-e2bbee0436f6
a120852b-3331-419a-b448-435a828c0a5e,Regulations – Very helpful,12 (40.0%),748891e1-3021-49c4-b890-e2bbee0436f6
2a90f5b5-f425-474f-9a73-7dd919f428a8,Regulations – Very helpful,14 (46.7%),748891e1-3021-49c4-b890-e2bbee0436f6
7f46235f-c06c-4ae4-af2b-be0caa43b309,Regulations – Very helpful,13 (43.3%),748891e1-3021-49c4-b890-e2bbee0436f6
6f7adaf0-8d95-4da5-80ee-6d10768fd77b,Regulations – Very helpful,8 (26.7%),748891e1-3021-49c4-b890-e2bbee0436f6
f2d48f01-8fa6-4a11-9f36-9c51fe7eec25,Regulations – Very helpful,11 (36.7%),748891e1-3021-49c4-b890-e2bbee0436f6
4185dc3d-8154-42f4-ba30-b525b1257500,Regulations – Very helpful,10 (33.3%),748891e1-3021-49c4-b890-e2bbee0436f6
c78cd2c7-ff0a-4ec0-80e8-b9c7cf38923a,Regulations – Very helpful,11 (36.7%),748891e1-3021-49c4-b890-e2bbee0436f6
127cbde5-9675-43ab-852d-6cadae2ce26d,Regulations – Very helpful,12 (40.0%),748891e1-3021-49c4-b890-e2bbee0436f6
