dimension_id,indicator,value,table_id
e9a83d3c-f21b-41df-b766-21e2988de725,Purchase off-the-shelf (No),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8ccd735a-f91b-4247-b4f5-76313f81b966,Purchase off-the-shelf (No),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cb7727cc-6dfb-4feb-a1c0-061d7e1c726a,Purchase off-the-shelf (No),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
effa60f6-7f16-4a69-af9c-59382208b537,Purchase off-the-shelf (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3386c66d-f57f-4f54-b642-2373aebf53c2,Purchase off-the-shelf (Yes),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
2bff4ddc-b3e4-46c8-a84b-4bab18d4d13e,Purchase off-the-shelf (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
664b4dd4-76f1-4e6a-9fa0-f6ade4157d12,Purchase off-the-shelf (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3355ac9b-37a2-48d0-b07a-49f462aa6909,Purchase off-the-shelf (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
a99b77f0-99d1-4667-bf86-47d67cb8d349,Purchase off-the-shelf (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
c37ff945-9deb-4ac4-832f-15ff9011d7cd,Purchase off-the-shelf (Yes),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e827d77b-3c14-4b13-879a-a558d9aee17d,Purchase off-the-shelf (Yes),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
fb0bdc31-5811-4ef6-a81b-f139ff808051,Purchase off-the-shelf (Yes),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
187f8815-7eb9-4143-abeb-607837077b34,Purchase off-the-shelf (Yes),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cbfd8480-729a-4b59-9776-373979e5dc13,Purchase off-the-shelf (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7324c5ea-7233-48f6-823e-568c79afa9c9,Purchase off-the-shelf (Yes),22 (73.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
54ba9371-790c-41f5-9362-03840401ba2b,Purchase off-the-shelf (Yes),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8dc1fa0f-6402-4f13-a56e-1a15371e0d97,Purchase off-the-shelf (Yes),22 (73.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
36352977-32b0-4c0c-bdc1-e844c48d151b,Purchase off-the-shelf (Yes),17 (58.6),18f7fc60-09a2-4caa-a7ef-917e96b1af87
83fa9070-bc37-4de6-be8a-8dd4cde56cea,Purchase off-the-shelf (Yes),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3c4e5777-c133-490b-87ae-ee36c892a8b7,Purchase off-the-shelf (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8c2e0ae0-6c31-4fb2-a558-3f92d99092d8,Purchase off-the-shelf (Yes),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
309da97b-b7ef-4e0f-a311-a8294e055eae,Purchase off-the-shelf (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e6189c0e-9bd5-4ba6-91b2-dbd33b170c2f,Purchase off-the-shelf (Yes),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7d9edf49-18e7-4161-8337-a3ca85af7c63,Purchase off-the-shelf (Yes),22 (73.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7e7dd7ab-3689-422e-a632-a33d4b64d457,Purchase off-the-shelf (Yes),24 (80.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
228bf8ea-ef39-4f62-8008-bdabe9904163,Purchase off-the-shelf (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
d3612088-7a2f-4f89-84dd-e5d920e92f38,Purchase off-the-shelf (Yes),22 (73.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
62c1b874-53f8-4f95-8051-ffe2710175bf,Purchase off-the-shelf (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e9a83d3c-f21b-41df-b766-21e2988de725,Purchase off-the-shelf (Yes),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8ccd735a-f91b-4247-b4f5-76313f81b966,Purchase off-the-shelf (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cb7727cc-6dfb-4feb-a1c0-061d7e1c726a,Purchase off-the-shelf (Yes),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
effa60f6-7f16-4a69-af9c-59382208b537,Use customised systems (No),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3386c66d-f57f-4f54-b642-2373aebf53c2,Use customised systems (No),7 (23.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
2bff4ddc-b3e4-46c8-a84b-4bab18d4d13e,Use customised systems (No),8 (26.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
664b4dd4-76f1-4e6a-9fa0-f6ade4157d12,Use customised systems (No),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3355ac9b-37a2-48d0-b07a-49f462aa6909,Use customised systems (No),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
a99b77f0-99d1-4667-bf86-47d67cb8d349,Use customised systems (No),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
c37ff945-9deb-4ac4-832f-15ff9011d7cd,Use customised systems (No),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e827d77b-3c14-4b13-879a-a558d9aee17d,Use customised systems (No),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
fb0bdc31-5811-4ef6-a81b-f139ff808051,Use customised systems (No),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
187f8815-7eb9-4143-abeb-607837077b34,Use customised systems (No),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cbfd8480-729a-4b59-9776-373979e5dc13,Use customised systems (No),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7324c5ea-7233-48f6-823e-568c79afa9c9,Use customised systems (No),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
54ba9371-790c-41f5-9362-03840401ba2b,Use customised systems (No),7 (23.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8dc1fa0f-6402-4f13-a56e-1a15371e0d97,Use customised systems (No),8 (26.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
36352977-32b0-4c0c-bdc1-e844c48d151b,Use customised systems (No),14 (48.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
83fa9070-bc37-4de6-be8a-8dd4cde56cea,Use customised systems (No),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3c4e5777-c133-490b-87ae-ee36c892a8b7,Use customised systems (No),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8c2e0ae0-6c31-4fb2-a558-3f92d99092d8,Use customised systems (No),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
309da97b-b7ef-4e0f-a311-a8294e055eae,Use customised systems (No),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e6189c0e-9bd5-4ba6-91b2-dbd33b170c2f,Use customised systems (No),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7d9edf49-18e7-4161-8337-a3ca85af7c63,Use customised systems (No),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7e7dd7ab-3689-422e-a632-a33d4b64d457,Use customised systems (No),9 (30.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
228bf8ea-ef39-4f62-8008-bdabe9904163,Use customised systems (No),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
d3612088-7a2f-4f89-84dd-e5d920e92f38,Use customised systems (No),9 (30.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
62c1b874-53f8-4f95-8051-ffe2710175bf,Use customised systems (No),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e9a83d3c-f21b-41df-b766-21e2988de725,Use customised systems (No),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8ccd735a-f91b-4247-b4f5-76313f81b966,Use customised systems (No),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cb7727cc-6dfb-4feb-a1c0-061d7e1c726a,Use customised systems (No),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
effa60f6-7f16-4a69-af9c-59382208b537,Use customised systems (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3386c66d-f57f-4f54-b642-2373aebf53c2,Use customised systems (Yes),23 (76.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
2bff4ddc-b3e4-46c8-a84b-4bab18d4d13e,Use customised systems (Yes),22 (73.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
664b4dd4-76f1-4e6a-9fa0-f6ade4157d12,Use customised systems (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3355ac9b-37a2-48d0-b07a-49f462aa6909,Use customised systems (Yes),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
a99b77f0-99d1-4667-bf86-47d67cb8d349,Use customised systems (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
c37ff945-9deb-4ac4-832f-15ff9011d7cd,Use customised systems (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e827d77b-3c14-4b13-879a-a558d9aee17d,Use customised systems (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
fb0bdc31-5811-4ef6-a81b-f139ff808051,Use customised systems (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
187f8815-7eb9-4143-abeb-607837077b34,Use customised systems (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cbfd8480-729a-4b59-9776-373979e5dc13,Use customised systems (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7324c5ea-7233-48f6-823e-568c79afa9c9,Use customised systems (Yes),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
54ba9371-790c-41f5-9362-03840401ba2b,Use customised systems (Yes),23 (76.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8dc1fa0f-6402-4f13-a56e-1a15371e0d97,Use customised systems (Yes),22 (73.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
36352977-32b0-4c0c-bdc1-e844c48d151b,Use customised systems (Yes),15 (51.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
83fa9070-bc37-4de6-be8a-8dd4cde56cea,Use customised systems (Yes),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3c4e5777-c133-490b-87ae-ee36c892a8b7,Use customised systems (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8c2e0ae0-6c31-4fb2-a558-3f92d99092d8,Use customised systems (Yes),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
309da97b-b7ef-4e0f-a311-a8294e055eae,Use customised systems (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e6189c0e-9bd5-4ba6-91b2-dbd33b170c2f,Use customised systems (Yes),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7d9edf49-18e7-4161-8337-a3ca85af7c63,Use customised systems (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7e7dd7ab-3689-422e-a632-a33d4b64d457,Use customised systems (Yes),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
228bf8ea-ef39-4f62-8008-bdabe9904163,Use customised systems (Yes),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
d3612088-7a2f-4f89-84dd-e5d920e92f38,Use customised systems (Yes),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
62c1b874-53f8-4f95-8051-ffe2710175bf,Use customised systems (Yes),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e9a83d3c-f21b-41df-b766-21e2988de725,Use customised systems (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8ccd735a-f91b-4247-b4f5-76313f81b966,Use customised systems (Yes),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cb7727cc-6dfb-4feb-a1c0-061d7e1c726a,Use customised systems (Yes),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
effa60f6-7f16-4a69-af9c-59382208b537,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3386c66d-f57f-4f54-b642-2373aebf53c2,Created AI management role/team (No),9 (30.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
2bff4ddc-b3e4-46c8-a84b-4bab18d4d13e,Created AI management role/team (No),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
664b4dd4-76f1-4e6a-9fa0-f6ade4157d12,Created AI management role/team (No),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3355ac9b-37a2-48d0-b07a-49f462aa6909,Created AI management role/team (No),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
a99b77f0-99d1-4667-bf86-47d67cb8d349,Created AI management role/team (No),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
c37ff945-9deb-4ac4-832f-15ff9011d7cd,Created AI management role/team (No),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e827d77b-3c14-4b13-879a-a558d9aee17d,Created AI management role/team (No),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
fb0bdc31-5811-4ef6-a81b-f139ff808051,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
187f8815-7eb9-4143-abeb-607837077b34,Created AI management role/team (No),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cbfd8480-729a-4b59-9776-373979e5dc13,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7324c5ea-7233-48f6-823e-568c79afa9c9,Created AI management role/team (No),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
54ba9371-790c-41f5-9362-03840401ba2b,Created AI management role/team (No),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8dc1fa0f-6402-4f13-a56e-1a15371e0d97,Created AI management role/team (No),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
36352977-32b0-4c0c-bdc1-e844c48d151b,Created AI management role/team (No),9 (31.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
83fa9070-bc37-4de6-be8a-8dd4cde56cea,Created AI management role/team (No),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3c4e5777-c133-490b-87ae-ee36c892a8b7,Created AI management role/team (No),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8c2e0ae0-6c31-4fb2-a558-3f92d99092d8,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
309da97b-b7ef-4e0f-a311-a8294e055eae,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e6189c0e-9bd5-4ba6-91b2-dbd33b170c2f,Created AI management role/team (No),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7d9edf49-18e7-4161-8337-a3ca85af7c63,Created AI management role/team (No),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7e7dd7ab-3689-422e-a632-a33d4b64d457,Created AI management role/team (No),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
228bf8ea-ef39-4f62-8008-bdabe9904163,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
d3612088-7a2f-4f89-84dd-e5d920e92f38,Created AI management role/team (No),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
62c1b874-53f8-4f95-8051-ffe2710175bf,Created AI management role/team (No),16 (53.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e9a83d3c-f21b-41df-b766-21e2988de725,Created AI management role/team (No),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8ccd735a-f91b-4247-b4f5-76313f81b966,Created AI management role/team (No),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cb7727cc-6dfb-4feb-a1c0-061d7e1c726a,Created AI management role/team (No),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
effa60f6-7f16-4a69-af9c-59382208b537,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3386c66d-f57f-4f54-b642-2373aebf53c2,Created AI management role/team (Yes),21 (70.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
2bff4ddc-b3e4-46c8-a84b-4bab18d4d13e,Created AI management role/team (Yes),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
664b4dd4-76f1-4e6a-9fa0-f6ade4157d12,Created AI management role/team (Yes),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3355ac9b-37a2-48d0-b07a-49f462aa6909,Created AI management role/team (Yes),17 (56.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
a99b77f0-99d1-4667-bf86-47d67cb8d349,Created AI management role/team (Yes),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
c37ff945-9deb-4ac4-832f-15ff9011d7cd,Created AI management role/team (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e827d77b-3c14-4b13-879a-a558d9aee17d,Created AI management role/team (Yes),15 (50.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
fb0bdc31-5811-4ef6-a81b-f139ff808051,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
187f8815-7eb9-4143-abeb-607837077b34,Created AI management role/team (Yes),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cbfd8480-729a-4b59-9776-373979e5dc13,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7324c5ea-7233-48f6-823e-568c79afa9c9,Created AI management role/team (Yes),19 (63.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
54ba9371-790c-41f5-9362-03840401ba2b,Created AI management role/team (Yes),11 (36.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8dc1fa0f-6402-4f13-a56e-1a15371e0d97,Created AI management role/team (Yes),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
36352977-32b0-4c0c-bdc1-e844c48d151b,Created AI management role/team (Yes),20 (69.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
83fa9070-bc37-4de6-be8a-8dd4cde56cea,Created AI management role/team (Yes),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
3c4e5777-c133-490b-87ae-ee36c892a8b7,Created AI management role/team (Yes),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8c2e0ae0-6c31-4fb2-a558-3f92d99092d8,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
309da97b-b7ef-4e0f-a311-a8294e055eae,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e6189c0e-9bd5-4ba6-91b2-dbd33b170c2f,Created AI management role/team (Yes),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7d9edf49-18e7-4161-8337-a3ca85af7c63,Created AI management role/team (Yes),13 (43.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
7e7dd7ab-3689-422e-a632-a33d4b64d457,Created AI management role/team (Yes),20 (66.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
228bf8ea-ef39-4f62-8008-bdabe9904163,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
d3612088-7a2f-4f89-84dd-e5d920e92f38,Created AI management role/team (Yes),18 (60.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
62c1b874-53f8-4f95-8051-ffe2710175bf,Created AI management role/team (Yes),14 (46.7),18f7fc60-09a2-4caa-a7ef-917e96b1af87
e9a83d3c-f21b-41df-b766-21e2988de725,Created AI management role/team (Yes),10 (33.3),18f7fc60-09a2-4caa-a7ef-917e96b1af87
8ccd735a-f91b-4247-b4f5-76313f81b966,Created AI management role/team (Yes),12 (40.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
cb7727cc-6dfb-4feb-a1c0-061d7e1c726a,Created AI management role/team (Yes),9 (30.0),18f7fc60-09a2-4caa-a7ef-917e96b1af87
