dimension_id,indicator,value,table_id
5e5a0f86-bd00-480d-9878-d1b334f6e813,1950-1960,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,1950-1960,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,1950-1960,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,1950-1960,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,1950-1960,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,1950-1960,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,1950-1960,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,1950-1960,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,1950-1960,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,1950-1960,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,1950-1960,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,1950-1960,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,1950-1960,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,1950-1960,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,1950-1960,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,1950-1960,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
255078de-af6a-40e9-9cb5-20360118727e,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,1960-1970,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,1960-1970,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,1960-1970,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
38398f64-d638-497a-ad15-2ae524d80391,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,1960-1970,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,1960-1970,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,1960-1970,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,1960-1970,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,1960-1970,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,1960-1970,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,1960-1970,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,1960-1970,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,1970-1980,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
255078de-af6a-40e9-9cb5-20360118727e,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,1970-1980,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,1970-1980,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,1970-1980,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,1970-1980,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
38398f64-d638-497a-ad15-2ae524d80391,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,1970-1980,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,1970-1980,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,1970-1980,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,1970-1980,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,1970-1980,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,1970-1980,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,1970-1980,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,1970-1980,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,1970-1980,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,1970-1980,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,1970-1980,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,1970-1980,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,1970-1980,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,1970-1980,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,1970-1980,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,1970-1980,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,1970-1980,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,1980-1990,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,1980-1990,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
255078de-af6a-40e9-9cb5-20360118727e,1980-1990,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,1980-1990,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,1980-1990,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,1980-1990,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,1980-1990,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
38398f64-d638-497a-ad15-2ae524d80391,1980-1990,9 (30.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,1980-1990,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,1980-1990,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,1980-1990,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,1980-1990,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,1980-1990,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,1980-1990,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,1980-1990,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,1980-1990,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,1980-1990,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,1980-1990,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,1980-1990,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,1980-1990,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,1980-1990,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,1980-1990,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,1990-2000,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,1990-2000,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
255078de-af6a-40e9-9cb5-20360118727e,1990-2000,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,1990-2000,9 (30.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,1990-2000,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,1990-2000,12 (40.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,1990-2000,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,1990-2000,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
38398f64-d638-497a-ad15-2ae524d80391,1990-2000,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,1990-2000,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,1990-2000,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,1990-2000,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,1990-2000,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,1990-2000,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,1990-2000,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,1990-2000,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,1990-2000,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,1990-2000,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,1990-2000,9 (30.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,1990-2000,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,1990-2000,9 (30.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,1990-2000,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,1990-2000,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,1990-2000,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,1990-2000,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,1990-2000,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,1990-2000,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,1990-2000,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,2000-2010,13 (43.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,2000-2010,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
